MBTI,Job
ENFP,크리에이티브 디렉터
ENFP,디자이너
ENFP,시나리오작가
ENFP,방송 프로듀서
ENFP,홍보 컨설턴트
ENFP,상담사
ENFP,상품 기획자
ENFJ,아나운서
ENFJ,리포터
ENFJ,방송 MC
ENFJ,언어교사
ENFJ,아동 복지사
ENFJ,CEO
ENFJ,취업 컨설턴트
ENFJ,동시 통역가
INFP,예술가
INFP,소설가
INFP,시인
INFP,음악가
INFP,미술 치료사
INFP,사회복지사
INFP,작곡가
INFP,사서
INFJ,직업상담사
INFJ,특수 교사
INFJ,노인 복지사
INFJ,아트 디렉터
INFJ,프리랜서 기획
INFJ,저널리스트
INFJ,상품기획 MD
ENTP,발명가
ENTP,벤처 사업가
ENTP,에이전트
ENTP,배우
ENTP,가수
ENTP,영화감독
ENTP,칼럼니스트
ENTP,정치인
ENTJ,경영 컨설턴트
ENTJ,공인 중개사
ENTJ,관리사
ENTJ,변호사
ENTJ,재무 상담사
ENTJ,경제 분석가
ENTJ,벤처 투자가
ENTJ,판사
INTP,경제학자
INTP,심리학자
INTP,경찰
INTP,프로그래머
INTP,천문학자
INTP,비평가
INTP,아트디렉터
INTP,연구원
INTJ,분석가
INTJ,회계사
INTJ,인류학자
INTJ,파일럿
INTJ,경영 컨설턴트
INTJ,제약회사 연구원
INTJ,웹 개발자
INTJ,최고 재무 책임자
ESTJ,감독관
ESTJ,예산 분석가
ESTJ,은행장
ESTJ,정책 책임자
ESTJ,보안 요원
ESTJ,기관사
ESTJ,교육 전문가
ESFJ,홍보 책임자
ESFJ,호텔 지배인
ESFJ,마케팅 책임자
ESFJ,초등학교 교사
ESFJ,특수 교사
ESFJ,비서
ESFJ,유치원 교사
ISTJ,통계학자
ISTJ,바이어
ISTJ,기상학자
ISTJ,법률 연구원
ISTJ,보험 심사관
ISTJ,형사
ISTJ,감정 평가사
ISTJ,세관 조사관
ISFJ,행정 보조원
ISFJ,인사 관리자
ISFJ,신용 상담가
ISFJ,보호 감찰관
ISFJ,물리치료사
ISFJ,정신과 의사
ISFJ,방사선 기사
ESTP,경찰관
ESTP,소방관
ESTP,군 장교
ESTP,펀드 매니저
ESTP,은행원
ESTP,기자
ESTP,여행 가이드
ESTP,건축 엔지니어
ESFP,코미디언
ESFP,의상 디자이너
ESFP,일러스트레이터
ESFP,애니메이터
ESFP,여행 상품 기획자
ESFP,놀이 치료사
ESFP,승무원
ISTP,파일럿
ISTP,카레이서
ISTP,범죄학자
ISTP,사진 작가
ISTP,판매원
ISTP,운동선수
ISTP,항공기 정비사
ISTP,네트워크 관리자
ISFP,보석 세공사
ISFP,음향 디자이너
ISFP,만화가
ISFP,지질학자
ISFP,사육사
ISFP,수의사
ISFP,법률 비서
ISFP,약사
